Tipo de precipitacion,Temperatura (C),Temperatura aparente (C),Humedad,Velocidad viento (km/h),Direccion del viento (grados),Visibilidad (km),Presion (millibares)
1,12.167,12.167,0.82,9.902,0.314763231,10.674,0.961381143
1,12.756,12.756,0.79,13.83,0.359331476,10.819,0.961056213
1,13.839,13.839,0.84,9.097,0.442896936,10.819,0.961247348
1,16.183,16.183,0.73,0.644,0.576601671,10.755,0.961381143
1,17.517,17.517,0.67,0.676,0.426183844,10.9,0.96106577
1,17.383,17.383,0.67,3.864,0.011142061,10.851,0.960645272
1,17.361,17.361,0.71,7.825,0.949860724,11.077,0.960549705
1,17.206,17.206,0.74,15.585,0.04178273,10.851,0.960119651
1,15.633,15.633,0.81,23.699,0.969359331,10.884,0.959536688
1,13.578,13.578,0.9,20.962,0.894150418,7.615,0.959574915
1,10.911,10.911,0.86,22.395,0.866295265,2.657,0.960081424
1,8.8,5.294,0.99,26.501,0.944289694,2.657,0.96044458
1,8.961,5.778,0.93,23.216,0.947075209,3.816,0.960310786
1,8.2,4.606,0.96,25.422,0.919220056,4.492,0.96041591
1,7.689,3.722,0.96,28.127,0.944289694,4.444,0.960587932
1,7.767,4.65,0.96,19.288,0.944289694,5.683,0.960501921
1,8.2,5.072,0.96,20.447,0.949860724,3.107,0.960263002
1,8.178,4.372,0.93,27.869,0.052924791,3.204,0.960349013
1,7.311,6.183,0.82,6.746,0.771587744,14.055,0.962365489
1,7.644,5.039,0.93,14.909,0.025069638,6.118,0.959785164
1,6.622,2.617,0.93,25.036,0,6.118,0.959192645
1,6.683,3.222,0.93,19.835,0.974930362,6.166,0.959364667
1,6.089,1.65,0.93,28.095,0.972144847,7.97,0.959087521
1,6.067,1.633,0.93,27.982,0.969359331,6.343,0.959460234
1,6.144,1.494,0.93,30.864,0.972144847,10.546,0.959594029
1,7.133,2.689,0.8,32.168,0.972144847,11.206,0.959746937
1,7.206,3.233,0.86,26.533,0.944289694,11.27,0.959670483
1,7.567,3.544,0.84,28.336,0.944289694,10.546,0.959718267
1,8.9,5.161,0.77,29.833,0.969359331,11.27,0.959947629
1,9.961,6.644,0.71,28.481,0.944289694,11.27,0.959995413
1,9.889,6.55,0.71,28.513,0.941504178,11.077,0.959775607
1,11.067,11.067,0.71,25.696,0.891364903,11.27,0.959431564
1,10.117,10.117,0.76,25.341,0.866295265,11.27,0.959498461
1,11.039,11.039,0.66,21.413,0.866295265,9.982,0.959785164
1,10.65,10.65,0.7,17.855,0.863509749,14.909,0.959498461
1,10.05,10.05,0.7,15.198,0.913649025,9.982,0.959871175
1,9.9,7.717,0.66,15.73,0.969359331,11.029,0.960912861
1,8.794,6.817,0.71,12.365,0.055710306,9.982,0.961304689
1,7.828,5.406,0.72,13.894,0.077994429,15.826,0.961763413
1,7.856,6.122,0.72,9.805,0.030640669,15.005,0.961944991
1,7.317,6.211,0.75,6.665,0.908077994,15.875,0.962432386
1,7.244,6.006,0.75,7.116,0.860724234,15.875,0.962719089
1,5.439,5.439,0.88,3.719,0.537604457,9.982,0.967363673
1,7.2,4.55,0.76,14.474,0.760445682,15.826,0.962633078
1,6.689,3.161,0.7,20.528,0.835654596,15.826,0.96253751
1,6.211,2.694,0.73,19.304,0.860724234,14.957,0.962738202
1,6.111,2.8,0.76,17.436,0.835654596,9.982,0.963005791
1,6.111,2.439,0.76,20.415,0.835654596,9.982,0.963302051
1,6.172,2.922,0.76,17.05,0.855153203,9.982,0.9638659
1,7.222,3.833,0.71,20.511,0.888579387,9.982,0.964152602
1,7.289,4.244,0.73,17.646,0.913649025,9.982,0.964697337
1,7.406,4.817,0.72,14.41,0.885793872,9.982,0.965261186
1,7.961,6.072,0.7,10.755,0.894150418,10.046,0.965442765
1,8.033,7.583,0.7,4.862,0.972144847,10.046,0.965605229
1,9.078,9.078,0.65,2.383,0.969359331,10.03,0.965461878
1,9.05,9.05,0.62,0.322,0.676880223,9.982,0.965232516
1,9.05,9.05,0.65,3.252,0.493036212,11.206,0.965213402
1,9.183,9.183,0.65,3.011,0.473537604,11.029,0.9652803
1,9.072,7.456,0.7,10.465,0.479108635,9.982,0.965328083
1,7.983,6.811,0.75,7.342,0.479108635,9.982,0.965605229
1,8.072,6.433,0.75,9.515,0.417827298,9.982,0.966102181
1,7.894,6.128,0.82,9.998,0.395543175,9.982,0.966494008
1,7.311,4.806,0.83,13.685,0.39275766,11.978,0.966771154
1,7.339,5.183,0.84,11.544,0.39275766,14.168,0.967115197
1,6.622,4.111,0.85,12.719,0.395543175,14.909,0.967354116
1,6.067,3.411,0.88,12.896,0.362116992,14.909,0.967851067
1,8.339,8.339,0.88,0.692,1,15.005,0.970345381
1,5.183,4.111,0.91,5.538,0.462395543,9.982,0.968376689
1,3.722,2.567,0.94,5.2,0.403899721,9.982,0.968472257
1,4.856,3.706,0.93,5.619,0.473537604,5.925,0.968529597
1,5.211,5.211,0.92,4.766,0.495821727,1.224,0.968481813
1,6.256,4.639,0.92,7.921,0.621169916,7.213,0.968873641
1,7.794,6.056,0.87,9.757,0.668523677,10.674,0.969724192
1,10.05,10.05,0.76,9.692,0.643454039,11.206,0.969695522
1,12.2,12.2,0.66,14.49,0.640668524,9.982,0.969685965
1,12.7,12.7,0.63,20.334,0.596100279,11.029,0.96981976
1,13.933,13.933,0.58,23.587,0.618384401,11.27,0.969504387
1,15.094,15.094,0.59,22.299,0.671309192,11.27,0.969208127
1,15.15,15.15,0.5,14.715,0.6545961,11.447,0.969122116
1,16.178,16.178,0.44,14.49,0.662952646,11.27,0.968424473
1,16.25,16.25,0.55,14.715,0.587743733,11.27,0.967831954
1,16.294,16.294,0.5,19.594,0.615598886,11.447,0.967507024
1,16.1,16.1,0.56,14.828,0.598885794,11.125,0.967507024
1,12.956,12.956,0.68,11.978,0.623955432,11.27,0.967831954
1,13.85,13.85,0.64,11.56,0.643454039,11.447,0.968500927
1,12.778,12.778,0.69,14.249,0.997214485,10.046,0.969447046
1,12.15,12.15,0.72,11.254,0.022284123,15.875,0.96990577
1,10.678,10.678,0.81,5.78,0.164345404,15.005,0.969924884
1,10.444,10.444,0.83,2.64,0.175487465,15.875,0.969771976
1,9.822,9.467,0.8,5.313,0.181058496,15.875,0.970536516
1,11.028,11.028,0.74,11.383,0.406685237,14.957,0.970679868
1,7.139,7.139,0.93,3.655,0.849582173,14.909,0.971377511
1,7.622,5.644,0.89,10.868,0.91086351,14.909,0.971501749
1,7.628,6.611,0.86,6.521,0.888579387,13.379,0.972065598
1,7.044,4.856,0.86,11.399,0.754874652,9.982,0.972275846
1,8.6,7.039,0.84,9.66,0.82729805,9.982,0.973116841
1,9.65,7.383,0.84,15.955,0.805013928,9.982,0.97406296
1,12.106,12.106,0.72,13.17,0.863509749,9.982,0.974626809
1,12.778,12.778,0.71,13.17,0.838440111,11.206,0.975276668
1,13.811,13.811,0.65,9.676,0.855153203,11.447,0.975658938
1,16.017,16.017,0.48,11.238,0.855153203,11.27,0.975362679
1,17.128,17.128,0.47,12.703,0.857938719,11.27,0.975161987
1,17.144,17.144,0.43,10.61,0.777158774,11.447,0.975114203
1,17.778,17.778,0.4,7.953,0.757660167,11.206,0.974502571
1,17.778,17.778,0.37,2.592,0.977715877,11.206,0.973728473
1,17.806,17.806,0.43,11.012,0.487465181,10.352,0.973336646
1,16.156,16.156,0.52,9.193,0.479108635,9.982,0.972753684
1,14.05,14.05,0.63,9.161,0.445682451,9.982,0.972457425
1,13.089,13.089,0.67,9.274,0.384401114,9.982,0.972285403
1,12.289,12.289,0.72,9.451,0.39275766,9.982,0.972476538
1,12.778,12.778,0.66,11.077,0.39275766,15.826,0.972543435
1,12.728,12.728,0.67,13.379,0.415041783,14.957,0.972266289
1,12.267,12.267,0.69,14.136,0.420612813,15.826,0.971731111
1,11.711,11.711,0.71,11.318,0.440111421,15.826,0.971578203
1,10.828,10.828,0.86,9.177,0.721448468,14.168,0.968223781
1,12.2,12.2,0.59,14.168,0.39275766,15.826,0.969810203
1,12.2,12.2,0.6,14.297,0.420612813,15.826,0.969294138
1,11.689,11.689,0.68,13.83,0.423398329,14.957,0.969007435
1,11.206,11.206,0.77,14.007,0.367688022,9.982,0.968701619
1,11.133,11.133,0.77,15.488,0.417827298,9.982,0.968357576
1,11.439,11.439,0.77,13.878,0.454038997,10.352,0.968634722
1,13.033,13.033,0.81,14.458,0.582172702,9.982,0.967956192
1,17.244,17.244,0.62,25.019,0.615598886,11.27,0.967287219
1,17.739,17.739,0.53,27.37,0.640668524,11.447,0.966866721
1,17.844,17.844,0.56,22.218,0.699164345,11.27,0.966455781
1,18.861,18.861,0.56,23.538,0.69637883,11.27,0.966178635
1,18.667,18.667,0.56,19.9,0.668523677,11.399,0.966121294
1,17.822,17.822,0.56,17.501,0.676880223,11.27,0.965901489
1,17.8,17.8,0.59,17.694,0.782729805,11.27,0.965729467
1,17.35,17.35,0.57,19.562,0.821727019,11.399,0.965891932
1,16.067,16.067,0.67,21.816,0.77994429,11.206,0.966054397
1,14.933,14.933,0.73,17.275,0.77994429,11.206,0.966321986
1,13.922,13.922,0.78,11.769,0.777158774,11.286,0.966799824
1,12.756,12.756,0.84,11.045,0.752089136,11.077,0.967162981
1,12.756,12.756,0.84,11.061,0.771587744,15.698,0.967344559
1,12.372,12.372,0.86,7.293,0.665738162,14.876,0.96745924
1,11.183,11.183,0.93,6.923,0.671309192,15.826,0.967717273
1,11.667,11.667,0.9,11.173,0.674094708,15.826,0.967908408
1,8.978,7.367,0.95,10.32,0.740947075,6.843,0.967774613
1,10.578,10.578,0.93,11.173,0.774373259,14.909,0.967449684
1,10.533,10.533,0.89,14.007,0.749303621,14.909,0.96745924
1,10.589,10.589,0.87,7.293,0.749303621,14.168,0.967669489
1,9.983,9.283,0.89,6.73,0.82729805,15.826,0.967822397
1,11.022,11.022,0.86,7.889,0.855153203,9.982,0.9681091
1,13.539,13.539,0.75,11.866,0.849582173,9.982,0.968319349
1,13.889,13.889,0.68,20.012,0.857938719,11.206,0.968395803
1,15,15,0.67,17.581,0.835654596,11.206,0.968481813
1,17.183,17.183,0.57,15.955,0.888579387,11.447,0.968357576
1,16.2,16.2,0.62,16.309,0.860724234,11.27,0.968118657
1,17.75,17.75,0.56,17.774,0.807799443,11.206,0.968128213
1,18.406,18.406,0.54,19.079,0.82729805,15.359,0.967669489
1,17.822,17.822,0.59,17.597,0.888579387,11.27,0.967172538
1,17.311,17.311,0.57,20.334,0.863509749,11.27,0.966962289
1,17.506,17.506,0.55,13.717,0.880222841,11.447,0.966503565
1,17.267,17.267,0.54,14.377,0.860724234,9.982,0.966379327
1,15.139,15.139,0.61,10.9,0.863509749,9.982,0.96666603
1,13.25,13.25,0.69,4.717,0.905292479,9.982,0.966914505
1,12.294,12.294,0.72,4.669,0.78551532,9.982,0.967153424
1,10.7,10.7,0.79,3.574,0.782729805,15.826,0.967440127
1,9.856,9.389,0.85,5.748,0.763231198,14.957,0.967631262
1,9.522,7.861,0.88,11.27,0.77994429,11.978,0.967640819
1,8.406,8.406,0.92,3.123,0.710306407,11.978,0.96772683
1,13.011,13.011,0.82,9.628,0.128133705,14.957,0.966446224
1,7.733,7.733,0.96,3.429,0.771587744,4.299,0.967659932
1,6.139,6.139,0.96,3.349,0.791086351,4.122,0.967564365
1,6.472,6.472,0.95,2.995,0.788300836,4.766,0.967736386
1,6.628,6.628,0.96,3.301,0.871866295,2.93,0.967860624
1,8.689,8.689,0.93,1.433,0.807799443,5.844,0.968061316
1,11.994,11.994,0.81,2.415,0.961002786,9.612,0.9684627
1,13.767,13.767,0.78,4.154,0.044568245,9.676,0.968233338
1,15.089,15.089,0.77,7.374,0.924791086,9.902,0.968414916
1,16.456,16.456,0.68,7.809,0.974930362,11.077,0.968634722
1,17.311,17.311,0.62,7.374,0.919220056,11.27,0.968682505
1,17.872,17.872,0.64,8.372,0.033426184,11.27,0.968204668
1,19.039,19.039,0.47,7.068,0.108635097,11.447,0.967803284
1,18.978,18.978,0.51,10.868,0.008356546,11.27,0.967335003
1,19.006,19.006,0.55,4.814,0.025069638,11.206,0.966857165
1,19.011,19.011,0.53,4.798,0.091922006,11.399,0.966570462
1,17.867,17.867,0.64,10.932,0.066852368,11.206,0.966494008
1,17.267,17.267,0.62,10.851,0.091922006,9.982,0.966407997
1,16.189,16.189,0.61,5.088,0.069637883,10.352,0.96666603
1,14.883,14.883,0.72,9.177,0.08913649,9.982,0.967191651
1,14.328,14.328,0.75,10.932,0.086350975,15.826,0.967287219
1,14.511,14.511,0.75,6.376,0.13091922,14.957,0.967229878
1,14.372,14.372,0.75,6.537,0.186629526,15.826,0.966981403
1,14.878,14.878,0.72,14.216,0.167130919,15.826,0.966618246
1,10.406,10.406,0.92,3.606,0.401114206,2.013,0.967191651
1,12.822,12.822,0.83,8.436,0.158774373,11.206,0.966360213
1,12.8,12.8,0.85,14.426,0.086350975,14.909,0.965299413
1,12.828,12.828,0.86,13.894,0.033426184,14.168,0.965070051
1,12.267,12.267,0.85,15.778,0.033426184,11.206,0.965041381
1,12.267,12.267,0.85,15.585,0.005571031,11.27,0.965222959
1,12.183,12.183,0.82,12.381,0.030640669,11.077,0.965433208
1,12.172,12.172,0.8,20.383,0.030640669,11.27,0.965624343
1,12.711,12.711,0.83,22.089,0.052924791,11.27,0.965547889
1,15.606,15.606,0.78,22.347,0.050139276,10.352,0.965643456
1,16.022,16.022,0.78,18.064,0.055710306,11.206,0.965509662
1,17.2,17.2,0.67,17.646,0.133704735,11.206,0.965328083
1,17.217,17.217,0.71,14.088,0.128133705,11.029,0.965194289
1,17.828,17.828,0.69,13.411,0.080779944,11.206,0.965098721
1,17.828,17.828,0.69,14.619,0.052924791,11.206,0.964726008
1,17.733,17.733,0.69,9.241,0.947075209,11.029,0.964878916
1,16.272,16.272,0.71,23.071,0.108635097,11.206,0.964649554
1,13.167,13.167,0.93,3.767,0.933147632,5.216,0.966255089
1,13.256,13.256,0.93,3.14,0.635097493,8.05,0.966407997
1,13.011,13.011,0.93,10.336,0.763231198,9.982,0.966522678
1,12.456,12.456,0.91,5.796,0.863509749,14.909,0.966828494
1,12.489,12.489,0.9,9.885,0.877437326,14.587,0.966914505
1,9.556,8.85,0.8,6.488,0.406685237,15.826,0.970660754
1,10.622,10.622,0.79,14.023,0.445682451,15.826,0.970402722
1,8.722,8.722,0.93,4.572,0.111420613,11.399,0.969991781
1,10.533,10.533,0.77,10.771,0.398328691,15.826,0.970182916
1,9.444,8.706,0.83,6.537,0.370473538,15.826,0.969724192
1,9.889,9.328,0.83,6.086,0.454038997,14.957,0.969666851
1,10.367,10.367,0.78,10.707,0.378830084,15.826,0.969351478
1,8.889,7.233,0.89,10.497,0.440111421,11.206,0.969657295
1,9.978,8.994,0.84,8.002,0.420612813,11.029,0.969838873
1,12.2,12.2,0.73,2.463,0.988857939,9.982,0.969838873
1,13.961,13.961,0.67,9.306,0.342618384,9.982,0.970010895
1,14.944,14.944,0.67,7.165,0.367688022,10.352,0.969915327
1,16.183,16.183,0.71,11.753,0.554317549,9.982,0.969389705
1,16.367,16.367,0.61,7.132,0.632311978,11.27,0.969542614
1,17.372,17.372,0.57,3.623,0.699164345,11.447,0.969361035
1,17.672,17.672,0.51,1.755,0.43454039,11.27,0.968988322
1,17.722,17.722,0.53,8.678,0.314763231,11.27,0.968529597
1,16.239,16.239,0.61,2.834,0.727019499,11.399,0.968510484
1,14.067,14.067,0.71,9.241,0.994428969,11.206,0.968653835
1,13.956,13.956,0.76,7.422,0.409470752,11.206,0.968328905
1,12.289,12.289,0.8,3.542,0.448467967,11.029,0.968768516
1,10.022,10.022,0.86,3.107,0.415041783,9.902,0.969189014
1,9.378,8.65,0.86,6.44,0.529247911,15.601,0.969380149
1,9.417,9.417,0.9,4.605,0.384401114,14.715,0.969628624
1,11.828,11.828,0.92,3.027,0.866295265,15.826,0.966838051
1,10.761,10.761,0.91,5.168,0.495821727,0.612,0.967124754
1,12.156,12.156,0.95,2.85,0.830083565,3.639,0.970622527
1,9.672,9.189,0.94,5.716,0.342618384,0.612,0.967392343
1,8.15,7.15,0.94,6.762,0.027855153,0.612,0.967745943
1,10.2,10.2,0.95,5.619,0.370473538,1.111,0.967736386
1,10.117,10.117,0.99,2.254,0.353760446,0.515,0.967956192
1,10.161,10.161,0.99,0.338,0.225626741,0.435,0.968682505
1,11.244,11.244,0.98,2.753,0.997214485,0.692,0.968959651
1,12.244,12.244,0.99,2.254,0.423398329,2.206,0.969351478
1,13.911,13.911,0.92,8.098,0.376044568,4.202,0.96946616
1,15.617,15.617,0.82,2.286,0.426183844,6.311,0.969752862
1,15.072,15.072,0.86,3.284,0.334261838,6.343,0.969934441
1,15.072,15.072,0.82,7.599,0.451253482,8.195,0.969752862
1,14.267,14.267,0.87,10.562,0.373259053,6.891,0.969934441
1,16.017,16.017,0.81,6.665,0.320334262,7.277,0.969781533
1,15.028,15.028,0.86,7.712,0.38718663,7.277,0.969408819
1,13.944,13.944,0.89,7.277,0.423398329,6.311,0.96984843
1,12.917,12.917,0.95,11.479,0.863509749,4.75,0.970116019
1,12.894,12.894,0.95,5.281,0.966573816,5.216,0.970144689
1,12.4,12.4,0.98,2.351,0.200557103,5.828,0.970488733
1,12.267,12.267,0.99,8.05,0.891364903,6.199,0.970737208
1,12.222,12.222,0.96,6.199,0.972144847,6.199,0.971301057
1,11.25,11.25,0.96,2.769,0.933147632,3.832,0.971329727
1,11.528,11.528,0.96,3.156,0.997214485,4.508,0.971377511
1,11.539,11.539,0.96,5.989,0.838440111,3.123,0.971501749
1,9.439,8.85,0.96,5.973,0.908077994,1.803,0.972142052
1,11.439,11.439,0.96,6.279,0.947075209,3.88,0.971129035
1,11.394,11.394,0.96,6.44,0.974930362,3.864,0.971205489
1,11.528,11.528,0.96,6.424,0.924791086,3.252,0.971090808
1,11.95,11.95,0.93,4.83,0.947075209,0.644,0.971129035
1,11.972,11.972,1,9.66,0.027855153,1.256,0.971396625
1,12.633,12.633,0.96,7.664,0.019498607,2.351,0.971864906
1,12.756,12.756,0.96,7.97,0.002785515,4.025,0.971979587
1,13.844,13.844,0.9,7.921,0.08356546,4.492,0.9723523
1,13.172,13.172,0.94,10.385,0.022284123,6.263,0.972658117
1,15.067,15.067,0.86,8.147,0.961002786,6.199,0.97261989
1,17.244,17.244,0.75,7.165,0.857938719,11.27,0.972428754
1,16.317,16.317,0.76,13.347,0.980501393,11.029,0.972218506
1,17.383,17.383,0.74,13.621,0.983286908,11.27,0.971750225
1,15.272,15.272,0.76,8.275,0.236768802,11.27,0.971539976
1,17.456,17.456,0.72,5.281,0.136490251,11.077,0.971339284
1,16.222,16.222,0.77,11.157,0.058495822,11.27,0.971281943
1,15.083,15.083,0.82,3.687,0.064066852,11.27,0.971463522
1,13.994,13.994,0.88,1.143,0.097493036,9.628,0.971740668
1,12.172,12.172,0.92,0.66,0.08356546,8.131,0.972247176
1,11.089,11.089,0.95,4.846,0.155988858,1.063,0.972438311
1,11.094,11.094,0.95,3.381,0.030640669,1.787,0.972333187
1,9.883,9.883,0.96,3.365,0.972144847,1.063,0.972543435
1,9.356,8.633,0.96,6.424,0.894150418,3.365,0.972457425
1,9.861,9.861,0.96,3.236,0.888579387,4.46,0.971119479
1,8.272,8.272,0.99,3.317,0.871866295,1.916,0.972075154
1,8.867,8.867,0.96,2.624,0.938718663,1.755,0.972065598
1,8.817,8.817,0.96,3.945,0.933147632,2.367,0.972189835
1,7.156,7.156,1,1.852,0.888579387,0.29,0.972065598
1,8.85,8.85,0.99,3.478,0.821727019,1.755,0.972266289
1,11.178,11.178,0.93,2.882,0.793871866,2.56,0.972591219
1,12.389,12.389,0.98,3.429,0.972144847,6.295,0.972610333
1,14.144,14.144,0.88,4.878,0.944289694,9.982,0.9727059
1,17.1,17.1,0.72,3.059,0.857938719,11.077,0.972658117
1,18.939,18.939,0.64,4.202,0.852367688,11.27,0.972208949
1,17.917,17.917,0.68,4.089,0.016713092,11.27,0.971826679
1,19.983,19.983,0.53,1.224,0.200557103,11.141,0.971348841
1,20.072,20.072,0.62,9.064,0.980501393,11.27,0.970871003
1,20.072,20.072,0.56,9.483,0.005571031,11.27,0.970288041
1,20.083,20.083,0.58,7.487,0.04178273,11.399,0.969915327
1,19.089,19.089,0.63,9.129,0.064066852,11.206,0.969705078
1,17.45,17.45,0.62,7.567,0.066852368,11.206,0.969800646
1,15.567,15.567,0.74,0.515,0.323119777,9.982,0.970049122
1,12.494,12.494,0.91,3.945,0.548746518,9.982,0.970498289
1,12.244,12.244,0.89,1.53,0.389972145,15.826,0.970698981
1,11.417,11.417,0.92,2.962,0.766016713,14.957,0.970765879
1,10.556,10.556,0.95,6.038,0.807799443,14.812,0.970804106
1,10.467,10.467,0.93,3.075,0.752089136,9.805,0.970918787
1,10.25,10.25,0.95,5.297,0.774373259,4.75,0.972046484
1,9.356,9.356,0.96,1.53,0.278551532,4.025,0.970794549
1,8.311,8.311,0.96,3.22,0.835654596,2.029,0.970794549
1,8.811,8.811,0.96,3.397,0.927576602,1.739,0.970861446
1,8.733,7.933,0.93,6.343,0.846796657,0.789,0.970804106
1,11.933,11.933,0.93,11.27,0.389972145,9.805,0.971081252
1,14.517,14.517,0.84,1.707,0.359331476,9.547,0.971186376
1,18.733,18.733,0.68,3.22,0.835654596,9.982,0.971186376
1,20.028,20.028,0.6,7.245,0.445682451,9.982,0.971329727
1,21.039,21.039,0.55,6.488,0.582172702,10.03,0.971597316
1,20.739,20.739,0.46,6.504,0.498607242,15.875,0.971520862
1,22.317,22.317,0.48,7.535,0.6545961,11.27,0.971224603
1,22.111,22.111,0.5,6.456,0.403899721,11.447,0.970928343
1,22.733,22.733,0.38,1.014,0.729805014,10.046,0.970335824
1,22.778,22.778,0.37,5.184,0.250696379,10.046,0.969724192
1,21.217,21.217,0.41,7.277,0.161559889,11.447,0.97020203
1,20.183,20.183,0.45,1.481,0.498607242,10.046,0.969886657
1,18.011,18.011,0.68,0.322,0.437325905,9.982,0.969800646
1,17.422,17.422,0.65,0.531,0.38718663,9.982,0.97052696
1,13.961,13.961,0.82,0,0,9.982,0.970976127
1,13.289,13.289,0.89,2.882,0.91643454,15.826,0.971463522
1,12.322,12.322,0.89,2.479,0.729805014,9.982,0.971884019
1,11.117,11.117,0.95,3.172,0.746518106,6.295,0.971960473
1,10.533,10.533,0.95,11.27,0.77994429,6.295,0.972237619
1,12.383,12.383,0.8,4.621,0.479108635,14.168,0.974397446
1,9.861,9.861,0.96,3.075,0.760445682,3.832,0.972161165
1,8.872,8.872,0.95,1.53,0.891364903,3.365,0.97232363
1,8.672,8.672,0.94,3.639,0.883008357,4.283,0.972629446
1,7.689,7.689,1,0,0,0.741,0.97300216
1,10.911,10.911,0.99,1.61,0.584958217,4.122,0.973470441
1,14.839,14.839,0.82,2.657,0.537604457,8.34,0.973910052
1,18.8,18.8,0.65,1.53,0.389972145,9.982,0.973938722
1,21.094,21.094,0.49,4.878,0.554317549,9.982,0.974311436
1,22.028,22.028,0.49,4.283,0.629526462,11.029,0.974655479
1,22.828,22.828,0.47,3.623,0.52367688,11.206,0.974588582
1,22.917,22.917,0.37,4.556,0.813370474,9.982,0.974282765
1,23.917,23.917,0.37,6.295,0.428969359,10.352,0.974072517
1,23.911,23.911,0.4,2.56,0.927576602,9.982,0.973728473
1,23.933,23.933,0.37,4.347,0.495821727,9.982,0.973451327
1,23.917,23.917,0.32,1.175,0.571030641,10.352,0.973518225
1,22.822,22.822,0.44,3.123,0.596100279,9.982,0.973441771
1,21.228,21.228,0.48,0.403,0.504178273,9.982,0.973518225
1,19.078,19.078,0.51,2.689,0.515320334,9.982,0.974043846
1,17.061,17.061,0.63,1.578,0.635097493,9.982,0.974674592
1,14.906,14.906,0.72,3.751,0.378830084,15.826,0.974703263
1,13.083,13.083,0.87,3.413,0.515320334,14.957,0.974808387
